,ds,yhat,yhat_lower,yhat_upper
108,2018-04-19,12303.288610852342,6912.207534175738,17453.920003544914
109,2018-04-20,12400.119606852006,6790.70590422437,17286.51904713941
110,2018-04-21,12437.02048535765,6741.10278510305,17753.451745919723
111,2018-04-22,12409.234934162925,7432.835357068986,18180.644132108915
112,2018-04-23,12463.21152453504,7124.616761652946,17603.97821119742
113,2018-04-24,12435.680904253182,7240.882022469881,17546.879178269992
114,2018-04-25,12518.84115343797,7206.186500824749,17532.362554459338
115,2018-04-26,12486.955113297054,7042.99482805702,18230.43032111019
116,2018-04-27,12585.774102485806,7148.590979500806,18038.721267553043
117,2018-04-28,12609.254415734138,7312.028062968695,17894.174772827468
118,2018-04-29,12551.884606215914,7309.474956992316,18042.73999822773
119,2018-04-30,12559.766798663282,7041.877721928851,18135.302380932393
120,2018-05-01,12469.704711492388,6733.934030259528,18191.05652507022
121,2018-05-02,12474.388869073719,7165.09909171088,18248.66728547195
122,2018-05-03,12348.982934757434,7286.863743158143,17490.411558863605
123,2018-05-04,12340.525986751849,7156.83365294546,17424.91054190073
124,2018-05-05,12244.617810230153,7082.128474643859,17419.73502992513
125,2018-05-06,12057.706134440446,6690.1965880801135,17555.147304839717
126,2018-05-07,11928.120208577648,6103.841270856507,17141.75618591075
127,2018-05-08,11695.104726311214,6335.177868804234,16884.23354432742
128,2018-05-09,11553.946057612236,6276.726345781635,17195.137893391686
129,2018-05-10,11282.49629965209,6192.10762563484,16420.01137400332
130,2018-05-11,11130.511609394416,5582.325225757559,16273.338125917566
131,2018-05-12,10896.273594843415,5246.661845171891,16280.973447376282
132,2018-05-13,10578.81407501057,5010.4544367157305,15909.52381815706
133,2018-05-14,10328.889640939986,5139.667871493415,15988.42349342691
134,2018-05-15,9987.960979693786,4686.707824594282,15758.427210092408
135,2018-05-16,9753.270453279143,4127.436245770838,15317.209378439673
136,2018-05-17,9404.324505440547,4136.337083092574,14662.228541398568
137,2018-05-18,9192.198263120894,3874.2070721357145,14672.599926793282
138,2018-05-19,8916.13173999207,3640.797523956088,14477.79990946308
139,2018-05-20,8575.738636854694,3259.7271931045616,13811.343048516457
140,2018-05-21,8321.973881872236,2650.496132943506,13757.710217392152
141,2018-05-22,7996.1153138540985,2850.3068000180424,13581.084814986185
142,2018-05-23,7794.852476049871,2402.194654284136,13249.178831446168
143,2018-05-24,7496.788639122334,1971.3003562256608,12880.518853200276
144,2018-05-25,7351.772714714401,2022.4443028108433,12854.37423666872
145,2018-05-26,7157.529583697421,1842.2048206512213,12876.025528037224
146,2018-05-27,6911.908801268901,1529.0825204833266,12188.070568303356
147,2018-05-28,6763.896672016392,1348.4373020091402,12296.89846861989
148,2018-05-29,6552.6458652931115,1218.6172285370924,11902.269215464552
149,2018-05-30,6472.614258182585,1334.1642235995996,12010.031236762394
150,2018-05-31,6300.117832932927,1139.3224683934893,11488.410143140947
151,2018-06-01,6282.713022076128,808.622457762704,11333.961463044816
152,2018-06-02,6215.875813861714,1005.8029338045937,11807.670233475319
153,2018-06-03,6095.296456198835,368.8061838334205,11333.280474581026
154,2018-06-04,6067.933742833256,570.228732199518,11750.888260850685
155,2018-06-05,5971.082180399679,111.82028245474518,11231.920154198146
156,2018-06-06,5997.54300793362,440.077246787493,11224.182739361007
157,2018-06-07,5922.203349398342,115.46093168160832,10673.206373821475
158,2018-06-08,5991.438523507336,48.46911016990025,11294.23728113547
159,2018-06-09,5999.804634616904,701.4760428776249,11638.230492558483
160,2018-06-10,5942.340271591787,623.5164858958116,11461.37812373401
161,2018-06-11,5965.6214570537195,610.1490429720612,11549.829749905057
162,2018-06-12,5906.823462210297,521.7669580365617,11321.695933401128
163,2018-06-13,5958.880917031567,922.953131940279,11604.266128643041
