timestamp,Open,High,Low,Close,Volume
2018-04-26,144.82399999999998,154.84,141.75,153.23833333333334,696527.7006557698
2018-04-27,153.22666666666666,153.83,144.44,145.81,618803.2566429357
2018-04-28,145.74999999999997,153.8,144.44,151.97,392201.69390959
2018-04-29,151.95999999999995,156.87,147.73,153.39333333333337,406369.84107123
2018-04-30,153.454,154.9,146.67,148.35666666666663,361758.61951933004
2018-05-01,148.1,149.0,142.44,148.1625,477611.45085222
2018-05-02,148.086,153.94,146.04,151.36666666666667,345067.7289735
2018-05-03,151.3925,165.04,150.0,161.32999999999996,830228.1364000901
2018-05-04,161.18200000000002,172.1,157.1,168.826,747556.7698840107
2018-05-05,168.76999999999995,184.67,167.03,178.52666666666667,875372.06577698
2018-05-06,178.3825,184.98,164.14,171.93200000000004,786470.7361477884
2018-05-07,171.775,173.0,157.25,164.31166666666667,892928.3953544911
2018-05-08,164.33166666666668,168.66,155.05,158.90750000000003,703083.7217645737
2018-05-09,158.93333333333334,160.33,150.0,156.845,599355.5337757079
2018-05-10,156.81,160.97,147.22,148.235,546120.5532759937
2018-05-11,148.21,148.61,132.0,136.454,1065564.8314799077
2018-05-12,136.458,145.0,129.56,141.63600000000002,622434.3610618538
2018-05-13,141.76666666666662,147.12,136.1,144.304,496258.5103672518
2018-05-14,144.24666666666667,153.12,133.8,147.375,1142684.9598719617
2018-05-15,147.23250000000004,150.0,136.91,139.43166666666664,608841.3202524487
2018-05-16,139.38600000000002,141.32,133.5,139.15,444150.5404801555
2018-05-17,139.204,141.76,130.89,132.39333333333337,457391.1261991663
2018-05-18,132.39,137.98,128.0,136.03333333333333,566273.6352191895
2018-05-19,136.0525,138.01,132.6,135.105,313632.7923623317
2018-05-20,135.01333333333335,141.01,132.2,139.654,307867.6129217448
2018-05-21,139.575,140.32,133.27,134.17600000000002,260626.05346036583
2018-05-22,134.17166666666665,136.25,126.94,128.015,293665.0109069288
2018-05-23,128.10399999999998,129.38,115.83,118.4675,675712.9184198956
2018-05-24,118.42200000000004,125.25,114.28,122.738,534602.9665356873
2018-05-25,122.77,124.58,116.61,118.985,396741.781952397
2018-05-26,118.9475,122.7,117.0,118.378,300455.48855787056
2018-05-27,118.35,119.0,116.28,117.785,308438.26379193587
2018-05-28,117.806,119.17,110.0,110.945,465895.2667776309
2018-05-29,110.9025,122.93,108.25,119.394,523105.7906516581
2018-05-30,119.44,123.0,114.42,117.15666666666668,377197.5060786432
2018-05-31,117.142,121.01,116.0,118.2425,363023.973493719
2018-06-01,118.255,120.82,116.56,120.086,325051.55702097894
2018-06-02,120.198,124.73,117.5,123.524,354913.4142797132
2018-06-03,123.56799999999998,129.87,122.0,125.14166666666668,384725.03350575047
2018-06-04,125.20333333333332,127.01,118.0,119.848,325634.45355539693
2018-06-05,119.825,123.03,115.74,122.14,326038.5693899423
2018-06-06,122.17600000000002,122.94,118.0,121.51,290049.3156041589
2018-06-07,121.41799999999998,123.97,119.16,121.555,281714.0648056288
2018-06-08,121.572,122.27,117.97,119.88,212688.23468997568
2018-06-09,119.99,121.21,116.41,117.39833333333333,146395.5684124379
